Name	IDNUM	Age	Balance
Person-0010	8237909	13	46098.08
Person-0070	8263837	59	76905.24
Person-0142	8280591	91	68521.36
Person-0313	8293453	2	128026.14
Person-0515	8298351	1	158614.86
Person-0693	8303541	90	60891.66
Person-0823	8317052	37	194392.95
Person-0320	8320798	12	35471.67
Person-0909	8321374	72	140678.22
Person-0686	8331021	45	16175.81
Person-0778	8331172	74	85520.61
Person-0945	8361478	7	145891.55
Person-0495	8373964	82	104181.57
Person-0647	8381358	35	35313.17
Person-0035	8390634	86	175986.56
Person-0673	8401071	53	37841.22
Person-0222	8401980	41	33034.38
Person-0083	8408965	10	107846.52
Person-0253	8427640	58	1004.87
Person-0375	8427914	21	64808.10
Person-0732	8428225	96	122639.49
Person-0316	8436194	88	22483.23
Person-0166	8440398	86	188848.66
Person-0207	8446439	79	97704.98
Person-0037	8470003	81	90222.24
Person-0988	8472462	63	85792.33
Person-0940	8481274	25	115215.50
Person-0263	8486473	26	193856.53
Person-0197	8490690	65	180797.09
Person-0307	8495418	24	160075.09
Person-0437	8548721	85	87024.70
Person-0640	8554896	14	175115.34
Person-0562	8555570	24	32901.03
Person-0408	8558938	70	123496.68
Person-0191	8583800	86	178487.23
Person-0872	8595687	79	56088.61
Person-0107	8597793	94	50432.38
Person-0165	8601910	38	130328.39
Person-0419	8604264	11	9935.98
Person-0139	8640463	88	176054.23
Person-0413	8642229	49	125959.12
Person-0018	8642841	58	68694.20
Person-0281	8653128	38	153996.05
Person-0021	8655503	9	122296.11
Person-0198	8685035	2	175164.42
Person-0087	8696929	1	89874.44
Person-0058	8702388	46	105940.61
Person-0794	8703702	25	79645.77
Person-0425	8718048	97	109252.46
Person-0481	8731487	92	81313.01
Person-0832	8743954	74	92638.35
Person-0952	8744451	10	16063.83
Person-0738	8745761	8	74325.87
Person-0465	8748503	63	114942.95
Person-0359	8758289	30	180353.56
Person-0689	8760443	43	68437.34
Person-0986	8760900	7	148434.06
Person-0449	8784665	29	65308.00
Person-0161	8791731	29	149644.00
Person-0244	8823234	54	27305.04
Person-0661	8829591	45	38527.55
Person-0777	8846055	13	122128.12
Person-0049	8862474	76	150151.14
Person-0645	8867495	17	86834.46
Person-0257	8867571	62	64976.23
Person-0433	8871661	77	146240.62
Person-0571	8894314	61	180325.48
Person-0062	8899218	88	23518.02
Person-0943	8906424	49	87797.48
Person-0486	8909909	22	60465.73
Person-0357	8914389	25	39237.51
Person-0489	8914936	93	178123.02
Person-0854	8921220	31	144758.78
Person-0216	8941475	49	60807.44
Person-0926	8944471	70	162134.50
Person-0859	8945692	85	129799.69
Person-0716	8946210	74	102461.96
Person-0206	8968543	3	161645.77
Person-0974	8969843	83	17129.18
Person-0739	8972179	9	170107.41
Person-0370	8979039	54	25851.79
Person-0006	8989096	64	196550.41
Person-0858	8997992	15	16257.98
Person-0825	9029706	29	107538.45
Person-0302	9038496	94	187131.50
Person-0849	9044025	69	72140.29
Person-0169	9045902	26	137703.45
Person-0250	9046907	12	140226.69
Person-0338	9068976	52	3089.08
Person-0572	9073166	83	57927.19
Person-0770	9075998	86	49058.59
Person-0615	9087822	78	34656.24
Person-0941	9090039	10	173813.41
Person-0894	9094594	73	30173.40
Person-0729	9103716	11	104226.08
Person-0149	9104055	25	88567.45
Person-0605	9122697	69	60471.94
Person-0885	9125417	41	125306.94
Person-0015	9141331	33	7463.97
Person-0774	9160096	95	46922.50
Person-0256	9166049	61	110040.74
Person-0022	9166649	91	19633.83
Person-0272	9171061	39	120028.39
Person-0499	9178818	51	123276.66
Person-0068	9180760	1	73050.11
Person-0538	9185464	23	151535.38
Person-0829	9199316	46	119040.16
Person-0628	9203891	75	73138.49
Person-0653	9207399	42	91899.55
Person-0031	9232625	25	136571.94
Person-0735	9252338	55	67522.00
Person-0875	9252917	59	36118.49
Person-0462	9256333	74	134290.38
Person-0510	9287048	10	27609.94
Person-0477	9292573	10	117993.66
Person-0410	9305011	24	33415.10
Person-0223	9311427	9	71693.84
Person-0989	9319235	6	64190.10
Person-0270	9324961	30	47901.11
Person-0351	9339001	94	127452.65
Person-0073	9362027	11	94860.40
Person-0558	9371728	51	44633.77
Person-0365	9375091	94	82109.43
Person-0867	9377032	70	56039.97
Person-0783	9403500	97	117092.95
Person-0884	9407475	45	108637.01
Person-0554	9416246	21	54247.53
Person-0721	9437511	84	161137.91
Person-0333	9443405	93	69406.88
Person-0592	9454971	31	77986.70
Person-0786	9461293	2	82848.25
Person-0243	9461399	64	92285.85
Person-0601	9479567	27	107801.96
Person-0880	9487074	70	79369.44
Person-0115	9520435	22	183485.20
Person-0334	9526288	15	124052.33
Person-0662	9530976	1	172344.03
Person-0128	9537914	33	20802.88
Person-0627	9539631	14	120446.20
Person-0861	9545306	93	63227.10
Person-0285	9547000	25	183395.67
Person-0241	9571424	81	189797.88
Person-0172	9582250	66	54505.34
Person-0287	9590332	69	57913.76
Person-0071	9593738	96	48130.83
Person-0501	9605387	71	182099.88
Person-0804	9611910	9	87207.63
Person-0519	9624055	8	47843.29
Person-0677	9627354	30	178425.34
Person-0958	9632915	97	4916.13
Person-0016	9633727	53	17896.32
Person-0520	9641171	24	67289.72
Person-0069	9641764	72	92078.99
Person-0723	9644768	5	67602.44
Person-0335	9646126	61	193110.08
Person-0513	9658619	43	146394.16
Person-0525	9662878	65	107238.86
Person-0079	9672921	65	119824.27
Person-0190	9682604	55	23824.18
Person-0028	9724862	57	122056.44
Person-0121	9733612	54	124687.65
Person-0075	9735089	22	16893.52
Person-0113	9737641	45	77924.92
Person-0108	9760181	39	20954.02
Person-0882	9775183	27	66512.87
Person-0813	9776895	32	142196.70
Person-0209	9789357	15	159680.78
Person-0985	9789380	31	127708.36
Person-0890	9810290	65	98257.82
Person-0684	9820288	33	176271.02
Person-0537	9821502	53	164953.81
Person-0553	9833892	57	187594.59
Person-0081	9835403	6	47577.84
Person-0670	9840161	68	18173.59
Person-0646	9850650	14	148907.81
Person-0692	9867811	79	57203.20
Person-0809	9868375	34	27030.78
Person-0533	9869076	27	142324.30
Person-0180	9876155	45	106665.48
